Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD,Material,Curve
48.8,10.62,Kleinsorheim,Europe,Germany,LBK,UtC-1840,7730,120,Cermaic tuff,intcal13
48.7,13.72,Steinfurth 2,Europe,Germany,LBK,UtC-1838,7260,70,Cermaic tuff,intcal13
52.17,10.82,Eitzum 2,Europe,Germany,LBK,UtC-1833,6340,70,Cermaic tuff,intcal13
48.6333,15.6833,Mold,Europe,Austria,LBK,Bln-58,5990,160,Cermaic tuff,intcal13
49.5667,11.8,Irlbach,Europe,Germany,LBK,Bln-85,5345,100,Cermaic tuff,intcal13
50.2403,15.4908,Nov? Bydzov,Europe,Czech,LBK,Bln-74,5225,100,Cermaic tuff,intcal13
36.3333,43.5,M'lefaat,Near East,Iraq,Mlefatian,Gd-6150,10890,140,charcoal,intcal13
38.31,41.27,Hallan Cemi Tepsi,Anatolia,Turkey,PPNA,BETA-55052,10590,170,charcoal,intcal13
38.23,39.65,Cayönü,Anatolia,Turkey,PPNA,GrN-8103,10430,80,charcoal,intcal13
30.6256,35.4453,Wadi Faynan 16,Near East,Jordan,PPNA,Beta-120210,10220,60,charcoal,intcal13
36.05,38.2,Mureybet,Near East,Syria,PPNA,P-1217,10215,117,charcoal,intcal13
28.55,33.97,Abu Madi I,Near East,Egypt,PPNA,Pta-2669,10110,100,charcoal,intcal13
36.72,42.88,Nemrik 9,Near East,Iraq,PPNA,GD-6148,10070,120,charcoal,intcal13
31.25,35.567,Dhra,Near East,Jordan,PPNA,AA-38142,10059,73,charcoal,intcal13
32.62,35.5511,Gesher,Near East,Israel,PPNA,Pta-4553,10020,100,charcoal,intcal13
31.09,35.64,Iraq ed-Dubb,Near East,Jordan,PPNA,OxA-2567,9950,100,charcoal,intcal13
32.1558,34.9528,Gilgal,Near East,Israel,PPNA,Pta-4588,9920,70,charcoal,intcal13
31.88,35.45,Jericho,Near East,Israel,PPNA,P-378,9775,110,charcoal,intcal13
33.5882,36.3818,Aswad,Near East,Syria,PPNA,Gif-2633,9730,120,charcoal,intcal13
36.95,39.033,Assouad,Near East,Syria,Pottery Neolithic,MC-864,8450,120,charcoal,intcal13
35.9167,36.4667,Aray 2,Near East,Syria,Pottery Neolithic,N-5976,8290,145,charcoal,intcal13
30.15,35.2167,Burqu 35,Near East,Jordan,Pottery Neolithic,OxA-2770,8270,80,charcoal,intcal13
38.61,22.73,Elateia,Europe,Greece,Early Neolithic,GrN-3039,8240,110,charcoal,intcal13
40.6,22.25,Nea Nikomedeia,Europe,Greece,Early Neolithic,Q-655,8180,150,charcoal,intcal13
35.8333,37.25,Ghorafie,Near East,Syria,Pottery Neolithic,Gif-3372,8150,190,charcoal,intcal13
36.66,42.5,Magzalia,Anatolia,Turkey,Neolithic,IGAN-772,8010,50,Charcoal,intcal13
37.43,23.13,Franchthi Cave,Europe,Greece,Early Neolithic,P-2095,7980,110,charcoal,intcal13
34.5,47.25,Sarab,Near East,Iran,Pottery Neolithic,P-466,7956,98,charcoal,intcal13
37.483,38.483,Kumartepe,Anatolia,Turkey,Pottery Neolithic,GrN-12652,7930,80,charcoal,intcal13
36.783,34.567,Yumuktepe,Anatolia,Turkey,Pottery Neolithic,Rome-467,7920,90,charcoal,intcal13
38.0167,12.4833,Grotta dell'Uzzo,Europe,Italy,Aceramic Neolithic,P-2734,7910,70,charcoal,intcal13
33.45,36.083,Ramad,Near East,Syria,Pottery Neolithic,GrN-4823,7880,55,charcoal,intcal13
39.36,24.16,Kyklopas Cave,Europe,Greece,Early Neolithic,DEM-636,7780,32,Charcoal,intcal13
39.38,22.81,Sesklo,Europe,Greece,Initial Neolithic,P-1681,7755,97,charcoal,intcal13
39.28,22.38,Achilleion,Europe,Greece,Early Neolithic,LJ-3180,7750,60,charcoal,intcal13
37.765,31.683,Erbaba,Anatolia,Turkey,Pottery Neolithic,I-5151,7730,120,charcoal,intcal13
41.7,22,Anza,Europe,Republic of Macedon,Star?evo,LJ-2519,7560,70,charcoal,intcal13
37.45,30.567,Höyücek,Anatolia,Turkey,Pottery Neolithic,HD-14219,7556,45,charcoal,intcal13
40.4236,17.2336,Praia di Mare,Europe,Italy,Early Neolithic,R-285,7555,85,charcoal,intcal13
